,Submission ID,Scores,Title,Abstract,result,mean
981,1550,1.55    2.45    2.1    1    ,Analysis of Articulatory System Based Speech Production for People with Speech Disabilities,"Based on our previous work more complicated situations e.g. words and sentences formulation, have been analyzed towards articulatory system (tongue based) speech production. The aim of the present work is to reconstruct the real-time speech synthesis system based on the gestures of the articulatory system (with a focus on the interaction of tongue with rest of the oral cavity) taken from a sensor based input.  A virtual prototype was developed by forming a Graphical User Interface (GUI) and the proposed algorithm was validated by a perceptual test. Speech production using an articulatory system and vocal tract model has been compared.
Index Terms: articulatory system, sensors, vocal tract model",1.0,1.775
1291,2437,1.8    2.35    1.5    1.5    ,A Model for Sibilant Sound Distortion Detection in Children,"The distortion of sibilant sounds is a common type of speech sound disorder in European Portuguese speaking children. Speech and language pathologists (SLP) use different types of speech production tasks to assess these distortions. One of these tasks consists of the sustained production of isolated sibilants. Using these sound productions, SLPs usually rely on auditory perceptual evaluation to assess the sibilant distortions. Here we propose to use an isolated sibilant machine learning model to help SLPs assessing these distortions.

Our model uses Mel frequency cepstral coefficient of isolated sibilant phone and it was trained with data from 145 children. The analysis of the false negatives detected by the model can give insight into whether the child has a sibilant sound production distortion. We were able to confirm that there exist some relation between the model classification results and the distortion assessment of professional SLPs. 69% of the distortion cases identified by the model are confirmed by an SLP as having some sort of distortion or are perceived as being the production of a different sound.",1.0,1.7875
1194,2107,1.55    2.95    1.4    1.25    ,Analysis of Suitable Features and Classifiers for Speech Recognition,Autism Spectral Disorder (ASD) is a developmental disorder that impairs the ability to communicate and interact. Attention Deficit Hyperactivity Disorder (ADHD) is a biological condition which makes it difficult for the children to pay attention and interact. A framework to detect ASD and ADHD using Speech Recognition is proposed. One of the signs of these disorders is that the subject has difficulty with communication or speaks and raises abnormal tone of voice. Researchers have focused on several different sets of features to recognize their speech. The objective of the proposed work is to find out an ensemble of features that can recognize speech with maximum accuracy. The analysis of existing feature sets is done to ascertain those ensemble of features that results in the maximum speech recognition rate. The experiments are carried out with several frequently used speech recognition data sets and the experimental results are presented.,1.0,1.7875
1166,2010,1.4    2.4    1.95    1.4    ,Automatic Speech Recognition for Manipuri Dialects(Kakching and Andro) Using DNN,"This paper proposes an approach to identify the differences between the Manipuri dialects (Kakching & Andro) and recognise the speech of different dialects. In this work, speech recognition is implemented in three different ways and compare their performances. Tonal differences are calculated by using speech features i.e., MFCCs and their derivatives as well as formant frequencies. It has been implemented using HMM-GMM with monophones, HMM-GMM with triphones and Deep neural network with 4 hidden layers with softmax adaptation layer and finally their performances are compared. By using DNN, WER is reduced from 15% to 13%, with softmax adaptation layer, WER is reduced to 10%.

Keywords: MFCC, HMM-GMM, DNN, Softmax adaptation layer, word error rate (WER)",1.0,1.7875
754,44,1    2.05    2.75    1.55    ,Production and Perception of Fake-singing,"These days armature people upload their own music videos to public data-cite, and they pretend to sing like a professional singer, however, the music sound and singing voice are from the original singers. We call it ""fake-singing"" in this paper. Their levels for fake-singing varies depending on their skills and attitude. In order to make a better fake-singing video, we investigated effects of breathing action and effects from first impressions. We noticed that fake-singers do not breathe in and/or actually breathe in a wrong timing. We also noticed that the first impression from our knowledge could shift the judgement of the fake-singing.
We examined (1) breathing action in fake-singing, and (2) perceivers' first impressions. Three armature singers participated for the recordings. Three kind of videos (real singing, fake-singing, and fake-singing with breathing). 
The results show that the breathing action is effective for the perceivers to get natural and congruent impressions. The first-impressions affects the evaluation for the fake-singing.",1.0,1.8375
1045,1708,1.7    1.5    1.5    2.7    ,Study of Multi-band Spectral Subtraction for Speech Enhancement in Magnitude and Power Spectral Domains.,"The spectral subtraction is a well-known method to reduce the background noise from noisy speech signal which assumes noise & signal are additive and uncorrelated. Hence an estimate of noise obtained from the noise only region of noisy speech is subtracted from the noisy speech to obtain an estimate of speech signal in which speech quality & intelligibility are enhanced. However in the normal speech communication scenario noise is mostly colored and does not affect the entire speech spectrum uniformly. To reduce this non-uniform effect of noise, kamath et al[6] proposed a method where the frame spectrum is divided into different frequency bands. They have computed oversubtraction factor & tweaking factor based on the band specific SNR as against frame SNR. Further, they have implemented the algorithm in the power domain. In this research activity, we have implemented multiband spectral subtraction method as proposed by Kamath et al[6] in the magnitude domain. We have experimented with babble noise, random noise, car noise & helicopter noise. The method presented by us results in reduced background noise & improved quality for babble noise & random noise. However, for helicopter and car noise this multi-band spectral subtraction in magnitude domain gives poor results",1.0,1.85
1312,2535,2.6    1.35    1.95    1.5    ,Classification of Emotions for Cognitively Impaired Subjects,"The study of emotions is an important task due to emotions affect the people’s behavior and reflect the social and interpersonal perception . It is a fact that emotions are an important aspect that plays a significant role in human decision-making processes. Our work is centered in the classification of emotions in speech signals in atypical situations like cognitively impaired subjects with mental, neurological, and/or physical disabilities and who may have different processes of interaction between them and the environment. The proposed methodology is based on wavelet decomposition and statistical feature extraction. Signal segmentation is performed by re-sampling the audio signal and windowing process. Next, each segment is decomposed through the discrete and stationary wavelet transforms and the results are compared. The descriptive characteristics of the decomposed signal are extracted and a supervised classification scheme is used. This methodology have been used for emotion recognition and classification in previous works with an accuracy between 80% and 90%. In this work we compare the performance of these algorithms using the provided database from cognitively impaired subjects.",1.0,1.85
1314,2555,1.25    1.7    2.85    1.6    ,Enhancement of Artificial Larynx Transducer Speech Using Subspace Filtering and Multidimensional Scaling,"Speaking is the fundamental activity in everybody's life. It becomes a pleasure if spoken with our own voice. But many human beings have problem in speaking and those disorders are termed with many names based on the cause like apraxia, dystheria, stammering and so on. Here the problems are caused because of the malfunctioning of our organs. There are cases were the larynx, the main part of the vocal systems is damaged and removed. Artificial Larynx Transducer(ALT), a small hand held device will be used by them. The sound produced by malfunctioning of the organ is called as Disordered speech and the speech produced by ALT is called Substituition voices. In this paper, an algorithm is developed to improve the quality of ALT speech. Initially the F0 contour, formant frequency deviations are used to categories the ALT speech and HE speech as well as used to train the system..The novelty of the system is to use optimum interpolation and decimation for making Principal Component Analysis to remove the noise.Multidimensional scaling(MDS) is used to estimate the distance vector between the training and test data set.
Index terms: Healthy Speech, ALT speech, F0 contour, F1 Formant deviation, Subspace filtering, MDS.",1.0,1.85
1224,2179,1.9    1.95    1.75    ,Speech Profile of Wilsons’ Disease: a Case Study,"Wilson Disease (WD) is a rare, inherited autosomal recessive disease which occurs due to mutation of the ATP7B gene resulting in copper toxicity. WD affects mostly liver, eyes, brain and combination of any. The present study aims to formulate the speech profile of WD and for same purpose a complete speech battery was performed including detailed Oral Peripheral assessment, Voice assessment, Cranial Nerve assessment, Dysarthria assessment, Swallowing assessment, Rate of speech assessment, articulation assessment and writing assessment. Client had less Maximum Phonation Time (13.2 sec) than normative values. On acoustic analysis, client had poor HNR and high shimmer values. Client had 38.88% of articulation error on H-PAT Client and had “slow rate of speech”.. Due to inadequate lip seal and lip strength client had drooling. Client had poor hand writing and misalignment. After completion of test battery we diagnosed the client as Mixed Dysarthria with dysphagia at oral preparatory stage. WD is affecting the client’s communication & daily activities and hence has impaired quality of life. This is one of the case reports exploring the speech and other related impairment in Wilson disease.",1.0,1.8666666666666665
1199,2121,1.55    2.15    1.4    2.4    ,"Acoustical Analysis of Affricates, Fricatives & Stops in Down’S Syndrome","Children with DS have anatomical and physiological differences in the mouth and throat region. They may also have hypotonic muscle, small oral cavity, high arched palate, respiratory difficulties. This may have an adverse effect on articulatory skills in comparison with typically developing child (TDC). So present study focus on acoustic analysis, (VOT, Formant Transitions including F1, F2, F3 and Friction Noise) of  fricatives, affricates and stops of children with Down’s Syndrome which will provide the speech profile of a particular child which help in further assessment and rehabilitation process. A total of 30 subjects were included in the study. Among 30 subjects 15 were DS children (i.e. 66.6% males and 33.3% females) whereas 15 were TDC (80% males and 20% females). Affricates, stops and fricatives in VCV combination (vowel-consonant-vowel) was asked to produce by subjects and analysis were made. The t test analysis was performed at 5% level of significance using SPSS 20.00 version software. Further percentile score, mean value and standard deviation were also computed. Result revealed that there is a significant difference in the articulatory skills of children with DS & TDC.",1.0,1.875
832,1148,1.5    1.6    3.15    1.3    ,A Discriminative Approach for Tonal Feature Extraction to Refine Punjabi Automatic Speech Recognition System.,"Among the Indo-Aryan languages, Punjabi language is the only tonal language which is spoken across the world by over 100 million native speakers. Although being very complex due to lexical tones, Punjabi language is very versatile spoken by a group of people in Punjab, India as well as Punjab, Pakistan. This leads to dialectal variations in the language. Punjabi language has three tones namely high, low and level tone. Although ample accomplishments have been made by the researchers in developing ASR systems for speech to text or text to speech applications, for tonal aspects of Punjabi ASR systems remains unexplored. Our research focuses on analyzing the pitch variations of the input speech pattern extracted on PRAAT to identify the meaning of the words having similar combination of consonants and vowels. The tonal features which are segmental and phonemic in nature are modeled based using DNN on KALDI toolkit. A discriminative feature extraction technique (DTFE) is proposed in the article which outperforms the fundamental F0 features. Improvement gains are observed in the ASR system based on the proposed features.",1.0,1.8875
1083,1810,1.15    1.65    1.75    3    ,"The INTERSPEECH 2018 ComParE Challenge: a MATLAB Based Atypical & Self-Assessed Affect, Crying & Heart Beats","In this paper we address all four sub-challenges put forth at the Interspeech 2018 Computational Paralinguistics challenge. We propose a system to classify atypical affect, self assessed affect, crying and heart beats. Based on the concepts of audio signal processing, we extracted features that were further processed by the state of the art machine learning algorithm of neural networks. The proposed system was implemented on a MATLAB environment and focused on automatic classifications of signals into specific classes. Based on their scores obtained after feature extraction an ANN was trained using the training dataset to represent different classes. The training process was repeated to obtain a cross word reference template (CWRT) for each class.
The proposed method of using a combination of ANN along with CWRT showed superior classification compared to earlier toolkits used for the same purpose.",1.0,1.8875
895,1321,1.7    2    1.65    2.55    ,"Experimental Analysis of the Changes in Speech While Normal Speaking, Walking, Running and Eating","Speech Communication is a mundane activity.People talk while
ambling, running, biking, eating and so on.This paper analyzes
the variability in speech parameters while a person speaking
when walking, eating or running with the normal speaking.
In this paper, we get information about the analysis of speech
signal while normally speaking and speaking along with walk-
ing, eating or running.The analysis of speech signal according
to minimum pitch,maximum pitch, mean energy intensity and
mean F1(first formant) has been carried out and also experi-
mented in Praat and then the problem is implemented in Mat-
lab.This paper metes out the variation in speech parameters in
different scenarios.The clustering is performed and the paper
presents an experimental comparison of two different features
of speech.",1.0,1.9749999999999999
941,1441,1.9    2.5    1.55    ,A New Method for Monaural Speech Separation Using Ideal Binary Mask,"This research work proposes a new computationally efficient method for monaural speech separation using Ideal Binary Mask (IBM). Speech separation systems using IBM in general consists of time-frequency (T-F) analysis by a bank of Gamma tone analysis filters, ideal binary mask computation using clean speech and noise and finally reconstruction of speech using the computed IBM via synthesis filter bank. This method involves post multiplication of IBM with the output of the synthesis filter bank. Which involves many computations without contributing anything to the final output with increased computational delay. This research work solves this issue by changing the order of operation in the reconstruction of speech signal from the noisy speech and improves the performance with minimal computational delay. The proposed method multiplies the computed IBM with T-F signals from the output of the analysis filter bank. This in turn makes many noise dominant frames to be zeros and enables the synthesis filter bank to produce the enhanced speech signal with minimal computational delay. The experimental results show that the proposed approach improves the intelligibility and quality of speech in terms of Short Time Objective Intelligibility (STOI) and Signal to Noise Ratio (SNR) respectively. The proposed method also reduces the computation time considerably as compared to the existing approach of monaural speech separation.",1.0,1.9833333333333334
1219,2167,1.9    1.55    2.15    2.5    ,Complementing the DTW Based Speaker Verification System with Knowledge of Specific Region of Interest,"In this paper, we propose complementing the traditional Dynamic Time Warping (DTW) based text dependent speaker verification system with local scores derived from the vicinity of speaker-identity-rich regions. The vowel-like regions are used to define portions along the warping path to be more important in terms of the speaker discriminating information content. Experiments have been performed to study the speaker mismatch scenario, on RSR2015 database, on the male set, considering three pass phrases. The proposed method showed absolute improvement of 0.88 to 1.82% over the baseline system.",1.0,2.025
837,1166,1.7    2.65    2.25    1.5    ,AMBIAURIS – a Multi-microphone Audio-recordings Database for Multi-speaker Spatial Localization and Separation,"The paper presents a multi-microphone audio-recordings database named Ambiauris that was collected for the development and evaluation of multi-speaker spatial localization, separation and distant speech recognition methods. A conventional multi-channel audio interface with four ceiling-mounted microphones was used for capturing audio recordings in a laboratory classroom. Several different spatial acoustic scenarios were designed and used to reflect different degrees of difficulty in automatic multi-speaker spatial localization and separation. The scenarios involve one to four individuals walking around the classroom, stopping at several reference locations, and uttering commands in English and/or making various sounds, such as clapping, snapping fingers, and moving chairs. The collected audio recordings were annotated and transcribed using EXMARaLDA Partitur Editor, where all the transcribed non-silence segments, which can overlap, were labelled with the identity and the corresponding reference location of the speakers who uttered commands or made the sounds. The paper also discusses how the Ambiauris database can be used in the development and evaluation of multi-speaker spatial localization and separation methods. Finally, an example of a system for spatial localization of speakers is presented, which was evaluated using the presented database. The Ambiauris database is publicly available and licensed under the Creative Commons - Attribution-NonCommercial-ShareAlike license.",1.0,2.025
1235,2227,1.65    2.7    1.8    ,Detecting Replay Attacks on Speaker Verification Systems,"Automatic Speaker Verification (ASV) systems are vulnerable to spoofing attacks, and a lot of research is focused in an attempt to improve the existing state-of-the-art by developing countermeasures against these attacks. Especially after two successful ASVspoof challenges and availability of standard databases, there has been enormous interest in researchers towards development of better countermeasures. Replay attacks, being low effort attacks, pose more threat to ASV systems. However, there is still a wide gap between performance in real-time and in case of small amount of training data. Conventional short-term features have not yet shown excellent results. In this paper, we review existing systems to counter replay attacks, and present our approach of detecting replay attacks using ASVspoof 2017
corpus. We experiment on various combinations of different filterbank features and claim that inverted mel-frequency cepstral coefficients (IMFCC) play a key role in discriminating replayed audio signals from genuine signals independent of any classifier.",1.0,2.05
1041,1697,1.4    2.35    2.7    1.55    2.5    ,Vowel Onset Point Detection Deep Learning,"In this paper, we have discussed about the Vowel Onset Point (VOP) for the Hindi language and its significance in the speech recognition. We have defined the vowel onset point and how it can be calculated. Alphabets in the Hindi language are the combination of the vowel and consonant part. In Hindi, we cant pronounce a consonant without a vowel. There is a very small region between consonant and vowel where transition happens from consonant to vowel. We have used characteristics of the sound files to get the vowel onset point. To calculate Vowel Onset Point, we have applied filtration process,after that, we can use the energy of the signal and different formants combined with epoch interval and itakura distance. Filtered energy and filtered formants can be used as cues for accurately detecting Vowel Onset Point within the range of +/- 30 milliseconds. In order to further increase the effectiveness of the proposed method, we have used Recurrent Neural Network variants to detect Vowel Onset Point which uses speech features and reference point calculated by filtered formants.",1.0,2.1
1006,1614,2.75    1.95    2.3    1.5    ,Aphasia Confidence Index (ACI) - an Objective Measure of Aphasic Symptoms,"Variability being a hallmark of aphasic syndromes there is a need for objectivity in a routine aphasic evaluation. Selecting domains and controlling parameter that needs to be worked upon for rehabilitation is still challenging for novice therapists. In this paper, we aim to build an objective tool that provides an assistive evaluation of aphasia. 
Using artificial neural networks, a confidence index on the type of aphasia and possible rehabilitation goals are highlighted. The study was carried out in two phases i.e. Phase I included the development of the tool using MATLAB software and Phase II of the study involved field testing of the developed tool.
 As results of phase I, Aphasic profiles of 49 participants were loaded onto MATLAB software and the ANN was trained. Results of phase II using Cohen's Kappa evaluation revealed an overall 0.916, indicating a positive agreement between the developed objective tool and traditional subjective evaluation. Hence this tool can help guide novice clinicians in decision making as well as planning appropriate intervention strategies.",1.0,2.125
830,1145,2.3    1.35    2.25    2.6    ,Acoustic Characteristics of Schwa Vowel and Release Vowel in Punjabi,"The research area of phonological study of Schwa /ə/ in Punjabi is a need of linguistic survey of Punjabi language. Punjabi is tonal language in which schwa occurs in only word-initial and word-medial. The word-medial schwa is generally used functionally to break the consonant clusters including geminated consonant clusters and is not represented orthographically. It also acts as tone bearing unit (TBU) in many such words. Consonantal release vowel Schwa is observed in isolated words with closed-syllable ending. 
The Prosodic pattern identification and their acoustic correlates is a complex problem. The ratio of first two formants also helps further in such identification. The spectrographic study of schwa needs to be carried out in the above context as the release vowel may have different acoustic properties than vowel schwa which may help in word spotting. The study is extended to the occurrence of release vowel in the same context in sentences for four male, four female native Punjabi speakers. The speech engines such as TTS can use it for speech processing provided the release vowel is found significantly impacting the phonological utterance. This study has been limited to tonal words which can help distinguish between a native and non-native Punjabi speaker.",1.0,2.125
1076,1789,2.1    2.05    1.1    3.3    ,Improved Continuous Hindi Speech Recognition Using Triphones,"Contextual information plays a very important role in the pronunciation of a phoneme. This paper presents context- dependent Triphone based continuous Hindi speech recognition system. As Triphone based acoustic modeling considers left and right context of monophones thus speech recognition results are improved by using Triphones.
Speech Recognition was performed using widely known Hidden Markov Model (HMM) based HTK toolkit. For feature extraction perceptual linear predictive (PLP) coefficient were used. 
Further HMMs were tied to share the same set of feature parameters. Decision tree based clustering was used for further refinements. Experiments were conducted for both monophones and Triphones based speaker dependent continuous Hindi Speech Recognition. Effects of two grammar definitions were analyzed. Maximum word correct percentage was achieved 69.11% using PLP coefficients with grammar definition (Gramdef1) using Triphone based acoustic modeling.",1.0,2.1375
934,1421,1.55    1.5    1.85    3.75    ,Data-Driven Model for Preparation of On-line Pronunciation Dictionaries,"Pronunciation varies from person to person. Interactive voice response devices deal with public using everyday speech and require to understand the varying accents. It is impossible to prepare pronunciation dictionaries covering all the accents of all human beings in the world. There is a need that these devices learn these accents and pronunciations from the interactions with its users like human beings do in everyday life. The pronunciation dictionaries should be lean and thin in terms space size as well as being current.

The existing models use supervised methods and are expensive in terms of time, cost, effort and huge in size and space requiring very processing power. We present an online model for preparation of lean, thin and current pronunciation dictionaries using data-driven adaptive methods. The new model measures the sound distances for automatic learning of new accents and prepares and updates its online pronunciation dictionaries to keep it current. The above model uses dynamic phone warping technique to measure the distances.

Experiments are conducted and results showed that the new pronunciations are recognized  with a very accuracy of eight-four percent. The model is generic and can be adopted for any language by using its phoneme sets.",1.0,2.1625
